name,party,BT-Period
Hermann Färber,CDU,20
Uwe Feiler,CDU,20
Thorsten Frei,CDU,20
Matthias Gastel,GRÜNE,20
Uli Grötsch,SPD,20
Oliver Grundmann,CDU,20
Fritz Güntzler,CDU,20
Christian Haase,CDU,20
Rita Hagl-Kehl,SPD,20
André Hahn,DIE LINKE,20
Metin Hakverdi,SPD,20
Sebastian Hartmann,SPD,20
Matthias Hauer,CDU,20
Stefan Heck,CDU,20
Dirk Heidenblut,SPD,20
Gabriela Heinrich,SPD,20
Mark Helfrich,CDU,20
Thomas Hitschler,SPD,20
Alexander Hoffmann,CSU,20
Hendrik Hoppenstedt,CDU,20
Erich Irlstorfer,CSU,20
Frank Junge,SPD,20
Anja Karliczek,CDU,20
Gabriele Katzmarek,SPD,20
Georg Kippels,CDU,20
Cansel Kiziltepe,SPD,20
Markus Koob,CDU,20
Carsten Körber,CDU,20
Christian Kühn,GRÜNE,20
Silke Launert,CSU,20
Katja Leikert,CDU,20
Andreas Lenz,CSU,20
Andrea Lindholz,CSU,20
Yvonne Magwas,CDU,20
Jan Metzler,CDU,20
Irene Mihalic,GRÜNE,20
Susanne Mittag,SPD,20
Bettina Müller,SPD,20
Michelle Müntefering,SPD,20
Wilfried Oellers,CDU,20
Florian Oßner,CSU,20
Mahmut Özdemir,SPD,20
Ingrid Pahlmann,CDU,20
Sabine Poschmann,SPD,20
Achim Post,SPD,20
Martin Rabanus,SPD,20
Kerstin Radomski,CDU,20
Alexander Radwan,CSU,20
Alois Rainer,CSU,20
Martina Renner,DIE LINKE,20
Daniela De Ridder,SPD,20
Andreas Rimkus,SPD,20
Dennis Rohde,SPD,20
Martin Rosemann,SPD,20
Corinna Rüffer,GRÜNE,20
Bernd Rützel,SPD,20
Johann Saathoff,SPD,20
Ulle Schauws,GRÜNE,20
Nina Scheer,SPD,20
Udo Schiefner,SPD,20
Jana Schimke,CDU,20
Dagmar Schmidt,SPD,20
Kordula Schulz-Asche,GRÜNE,20
Andreas Schwarz,SPD,20
Tino Sorge,CDU,20
Svenja Stadler,SPD,20
Martina Stamm-Fibich,SPD,20
Wolfgang Stefinger,CSU,20
Albert Stegemann,CDU,20
Johannes Steiniger,CDU,20
Claudia Tausend,SPD,20
Michael Thews,SPD,20
Astrid Timmermann-Fechter,CDU,20
Carsten Träger,SPD,20
Volker Ullrich,CSU,20
Julia Verlinden,GRÜNE,20
Dirk Vöpel,SPD,20
Nina Warken,CDU,20
Anja Weisgerber,CSU,20
Bernd Westphal,SPD,20
Kai Whittaker,CDU,20
Dirk Wiese,SPD,20
Gülistan Yüksel,SPD,20
Emmi Zeulner,CSU,20
Stefan Zierke,SPD,20
Jens Zimmermann,SPD,20
Christian Petry,SPD,20
Angelika Glöckner,SPD,20
Ronja Schmitt,CDU,20
Ronja Kemmer,CDU,20
Sarah Ryglewski,SPD,20
Jürgen Coße,SPD,20
Markus Uhl,CDU,20
Gökay Akbulut,DIE LINKE,20
Renata Alt,FDP,20
Norbert Maria Altenkamp,CDU,20
Philipp Amthor,CDU,20
Lisa Badum,GRÜNE,20
Nicole Bauer,FDP,20
Bernd Baumann,AfD,20
Canan Bayram,GRÜNE,20
Jens Beeck,FDP,20
Olaf In der Beek,FDP,20
Marc Bernhard,AfD,20
Melanie Bernstein,CDU,20
Marc Biadacz,CDU,20
Andreas Bleck,AfD,20
Peter Boehringer,AfD,20
Jens Brandenburg,FDP,20
